공간정보일련번호,격자분류명,격자명,공간정보
19,250000_A,NJ52-11,MULTIPOLYGON (((127.99999850867246 36.00003335462097  127.99999851660282 36.25003284537696  127.99999927251388 36.50001663862852  127.99999854305409 36.75003182561574  127.99999926465996 37.00001667432649  128.24999927660673 37.00001667121191  128.4999992744601 37.00001667251623  128.74999927354727 37.00001667571137  128.99999927268658 37.000016676777136  129.24999927052065 37.0000166705322  129.4999992728284 37.00001667745512  129.74999927590096 37.00001667462395  129.99999928030263 37.00001667089272  129.99999927029455 36.750016747680114  129.99999927607718 36.500016743326334  129.99999927333027 36.25001673647919  129.99999927017603 36.00001672250214  129.74999926501602 36.00001687891382  129.49999927459965 36.000016604659706  129.2499992384613 36.00001780072064  128.99999920073003 36.000018839121395  128.74999913260575 36.000020562016154  128.49999927815895 36.00001662144218  128.24999881155696 36.00002735456805  127.99999850867246 36.00003335462097)))
11,250000_A,NI51-09,MULTIPOLYGON (((123.99999620942464 33.00008340237194  123.99999621735499 33.25008289312793  123.99999697326605 33.5000666863795  123.99999624380627 33.75008187336672  123.99999696541214 34.00006672207746  124.24999697735892 34.000066718962884  124.49999697521226 34.000066720267206  124.74999697429945 34.000066723462346  124.99999697343875 34.00006672452811  125.24999697127282 34.00006671828317  125.49999697358056 34.000066725206096  125.74999697665312 34.000066722374925  125.99999698105479 34.000066718643694  125.99999697104673 33.75006679543109  125.99999697682937 33.50006679107731  125.99999697408246 33.250066784230164  125.99999697092821 33.00006677025311  125.74999696576819 33.00006692666479  125.49999697535183 33.00006665241068  125.24999693921347 33.000067848471616  124.9999969014822 33.00006888687237  124.74999683335793 33.00007060976713  124.49999697891111 33.00006666919315  124.24999651230912 33.00007740231902  123.99999620942464 33.00008340237194)))
21,250000_A,NJ52-09,MULTIPOLYGON (((129.99999928030263 37.00001667089272  129.99999928823297 37.25001616164871  130.00000004414403 37.499999954900275  129.99999931468426 37.750015141887495  130.00000003629012 37.99999999059824  130.2500000482369 37.99999998748366  130.50000004609024 37.999999988787984  130.75000004517744 37.999999991983124  131.00000004431672 37.99999999304889  131.25000004215082 37.99999998680395  131.50000004445855 37.999999993726874  131.7500000475311 37.9999999908957  132.00000005193277 37.99999998716447  132.0000000419247 37.750000063951866  132.00000004770735 37.50000005959809  132.00000004496044 37.25000005275094  132.00000004180617 37.00000003877389  131.75000003664616 37.00000019518557  131.50000004622981 36.99999992093146  131.25000001009147 37.000001116992394  130.99999997236017 37.00000215539315  130.7499999042359 37.000003878287906  130.5000000497891 36.99999993771393  130.2499995831871 37.0000106708398  129.99999928030263 37.00001667089272)))
22,250000_A,NJ52-08,MULTIPOLYGON (((127.99999926465996 37.00001667432649  127.99999927259032 37.25001616508248  128.00000002850138 37.499999958334044  127.99999929904159 37.750015145321264  128.00000002064746 37.99999999403201  128.25000003259424 37.99999999091743  128.50000003044758 37.99999999222175  128.75000002953476 37.99999999541689  129.0000000286741 37.99999999648266  129.25000002650813 37.99999999023772  129.5000000288159 37.99999999716064  129.75000003188845 37.99999999432947  130.00000003629012 37.99999999059824  130.00000002628207 37.750000067385635  130.0000000320647 37.500000063031855  130.0000000293178 37.25000005618471  130.00000002616355 37.00000004220766  129.75000002100353 37.00000019861934  129.50000003058716 36.99999992436523  129.24999999444879 37.00000112042616  128.99999995671755 37.000002158826916  128.74999988859327 37.000003881721675  128.50000003414644 36.9999999411477  128.24999956754445 37.00001067427357  127.99999926465996 37.00001667432649)))
27,50000_A,NI52-10-02,MULTIPOLYGON (((126.2499996900309 33.00005412533753  126.49999773256071 33.00005412533753  126.49999773256071 32.75005615162016  126.2499996900309 32.75005615162016  126.2499996900309 33.00005412533753)))
28,50000_A,NI52-10-01,MULTIPOLYGON (((125.99999968487091 33.00005428174922  126.2499977274007 33.00005428174922  126.2499977274007 32.75005630803184  125.99999968487091 32.75005630803184  125.99999968487091 33.00005428174922)))
25,50000_A,NJ53-07-25,MULTIPOLYGON (((132.0000043343411 37.24994886047221  132.25000237687098 37.24994886047221  132.25000237687098 36.999950886754824  132.0000043343411 36.999950886754824  132.0000043343411 37.24994886047221)))
26,50000_A,NJ53-07-17,MULTIPOLYGON (((132.0000043343411 37.49994683418959  132.25000237687098 37.49994683418959  132.25000237687098 37.24994886047221  132.0000043343411 37.24994886047221  132.0000043343411 37.49994683418959)))
29,50000_A,NI51-09-32,MULTIPOLYGON (((125.750001947803 33.25000615974597  125.9999999903328 33.25000615974597  125.9999999903328 33.00000818602859  125.750001947803 33.00000818602859  125.750001947803 33.25000615974597)))
30,50000_A,NI51-09-24,MULTIPOLYGON (((125.750001947803 33.50000413346335  125.9999999903328 33.50000413346335  125.9999999903328 33.25000615974597  125.750001947803 33.25000615974597  125.750001947803 33.50000413346335)))
93,50000_A,NI52-04-15,MULTIPOLYGON (((127.4999938398962 34.75005174524607  127.74999188242599 34.75005174524607  127.74999188242599 34.5000537715287  127.4999938398962 34.5000537715287  127.4999938398962 34.75005174524607)))
17,250000_A,NI51-03,MULTIPOLYGON (((123.99999772139964 35.000050041782984  123.99999772932999 35.25004953253897  123.99999848524105 35.50003332579054  123.99999775578127 35.75004851277776  123.99999847738714 36.000033361488505  124.24999848933392 36.000033358373926  124.49999848718726 36.00003335967825  124.74999848627445 36.00003336287339  124.99999848541376 36.00003336393915  125.24999848324782 36.000033357694214  125.49999848555557 36.00003336461714  125.74999848862812 36.00003336178597  125.99999849302979 36.000033358054736  125.99999848302173 35.75003343484213  125.99999848880437 35.50003343048835  125.99999848605746 35.250033423641206  125.99999848290321 35.000033409664155  125.74999847774319 35.000033566075835  125.49999848732683 35.00003329182172  125.24999845118847 35.00003448788266  124.9999984134572 35.00003552628341  124.74999834533293 35.00003724917817  124.49999849088611 35.000033308604195  124.24999802428412 35.000044041730064  123.99999772139964 35.000050041782984)))
38,50000_A,NI52-07-29,MULTIPOLYGON (((126.9999976000215 33.250051794954  127.24999564255128 33.250051794954  127.24999564255128 33.00005382123662  126.9999976000215 33.00005382123662  126.9999976000215 33.250051794954)))
33,50000_A,NI51-09-07,MULTIPOLYGON (((125.50000193478908 34.000004325573  125.7499999773189 34.000004325573  125.7499999773189 33.750006351855625  125.50000193478908 33.750006351855625  125.50000193478908 34.000004325573)))
34,50000_A,NI51-09-06,MULTIPOLYGON (((125.25000389225929 34.000004325573  125.50000193478908 34.000004325573  125.50000193478908 33.750006351855625  125.25000389225929 33.750006351855625  125.25000389225929 34.000004325573)))
35,50000_A,NI51-09-05,MULTIPOLYGON (((124.9999996746039 34.000050089598105  125.2499977171337 34.000050089598105  125.2499977171337 33.750052115880735  124.9999996746039 33.750052115880735  124.9999996746039 34.000050089598105)))
39,50000_A,NI52-07-28,MULTIPOLYGON (((126.74999759486151 33.250051951365684  126.9999956373913 33.250051951365684  126.9999956373913 33.0000539776483  126.74999759486151 33.0000539776483  126.74999759486151 33.250051951365684)))
40,50000_A,NI52-07-27,MULTIPOLYGON (((126.499994280611 33.25007712798066  126.7499923231409 33.25007712798066  126.7499923231409 33.00007915426328  126.499994280611 33.00007915426328  126.499994280611 33.25007712798066)))
41,50000_A,NI52-07-26,MULTIPOLYGON (((126.2499962302273 33.25008121624387  126.49999427275709 33.25008121624387  126.49999427275709 33.0000832425265  126.2499962302273 33.0000832425265  126.2499962302273 33.25008121624387)))
43,50000_A,NI52-07-21,MULTIPOLYGON (((126.9999976000215 33.50004976867138  127.24999564255128 33.50004976867138  127.24999564255128 33.250051794954  126.9999976000215 33.250051794954  126.9999976000215 33.50004976867138)))
44,50000_A,NI52-07-20,MULTIPOLYGON (((126.74999759486151 33.50004992508305  126.9999956373913 33.50004992508305  126.9999956373913 33.250051951365684  126.74999759486151 33.250051951365684  126.74999759486151 33.50004992508305)))
45,50000_A,NI52-07-19,MULTIPOLYGON (((126.499994280611 33.500075101698044  126.7499923231409 33.500075101698044  126.7499923231409 33.25007712798066  126.499994280611 33.25007712798066  126.499994280611 33.500075101698044)))
31,50000_A,NI51-09-16,MULTIPOLYGON (((125.75000193994909 33.75000619544394  125.99999998247891 33.75000619544394  125.99999998247891 33.50000822172656  125.75000193994909 33.50000822172656  125.75000193994909 33.75000619544394)))
32,50000_A,NI51-09-08,MULTIPOLYGON (((125.75000193994909 34.00000416916132  125.99999998247891 34.00000416916132  125.99999998247891 33.75000619544394  125.75000193994909 33.75000619544394  125.75000193994909 34.00000416916132)))
46,50000_A,NI52-07-18,MULTIPOLYGON (((126.2499962302273 33.500079189961255  126.49999427275709 33.500079189961255  126.49999427275709 33.25008121624387  126.2499962302273 33.25008121624387  126.2499962302273 33.500079189961255)))
47,50000_A,NI52-07-17,MULTIPOLYGON (((125.99999622506729 33.50007934637293  126.2499942675971 33.50007934637293  126.2499942675971 33.25008137265555  125.99999622506729 33.25008137265555  125.99999622506729 33.50007934637293)))
49,50000_A,NI52-07-11,MULTIPOLYGON (((126.49999427275709 33.750077163678625  126.7499923152869 33.750077163678625  126.7499923152869 33.500079189961255  126.49999427275709 33.500079189961255  126.49999427275709 33.750077163678625)))
50,50000_A,NI52-07-10,MULTIPOLYGON (((126.2499962302273 33.750077163678625  126.49999427275709 33.750077163678625  126.49999427275709 33.500079189961255  126.2499962302273 33.500079189961255  126.2499962302273 33.750077163678625)))
48,50000_A,NI52-07-12,MULTIPOLYGON (((126.74999759486151 33.75004789880043  126.9999956373913 33.75004789880043  126.9999956373913 33.50004992508305  126.74999759486151 33.50004992508305  126.74999759486151 33.75004789880043)))
51,50000_A,NI52-07-09,MULTIPOLYGON (((125.99999622506729 33.750077320090305  126.2499942675971 33.750077320090305  126.2499942675971 33.50007934637293  125.99999622506729 33.50007934637293  125.99999622506729 33.750077320090305)))
52,50000_A,NI52-07-08,MULTIPOLYGON (((127.7499957793852 34.00004191516136  127.999993821915 34.00004191516136  127.999993821915 33.750043941443984  127.7499957793852 33.750043941443984  127.7499957793852 34.00004191516136)))
