공간정보일련번호,격자분류명,격자명,공간정보
169,50000_A,NJ51-12-07,MULTIPOLYGON (((125.5000019471883 37.000000205486884  125.7499999897182 37.000000205486884  125.7499999897182 36.7500022317695  125.5000019471883 36.7500022317695  125.5000019471883 37.000000205486884)))
140,50000_A,NI52-01-32,MULTIPOLYGON (((127.7499817912798 35.25009738578937  127.99997983380959 35.25009738578937  127.99997983380959 35.00009941207199  127.7499817912798 35.00009941207199  127.7499817912798 35.25009738578937)))
136,50000_A,NI52-02-14,MULTIPOLYGON (((129.2500039258173 35.75000227651138  129.50000196834708 35.75000227651138  129.50000196834708 35.500004302794  129.2500039258173 35.500004302794  129.2500039258173 35.75000227651138)))
141,50000_A,NI52-01-26,MULTIPOLYGON (((126.24999922607019 35.25001868654801  126.49999726860001 35.25001868654801  126.49999726860001 35.00002071283063  126.24999922607019 35.00002071283063  126.24999922607019 35.25001868654801)))
142,50000_A,NI52-01-25,MULTIPOLYGON (((125.99999922091021 35.25001884295968  126.24999726344 35.25001884295968  126.24999726344 35.00002086924231  125.99999922091021 35.00002086924231  125.99999922091021 35.25001884295968)))
145,50000_A,NI52-01-11,MULTIPOLYGON (((126.49999726860001 35.75001463398276  126.74999531112991 35.75001463398276  126.74999531112991 35.50001666026538  126.49999726860001 35.50001666026538  126.49999726860001 35.75001463398276)))
150,50000_A,NI52-01-02,MULTIPOLYGON (((126.250000753753 35.999987280845744  126.4999987962829 35.999987280845744  126.4999987962829 35.74998930712836  126.250000753753 35.74998930712836  126.250000753753 35.999987280845744)))
151,50000_A,NI52-01-01,MULTIPOLYGON (((126.00000074859301 35.999987437257424  126.24999879112279 35.999987437257424  126.24999879112279 35.74998946354004  126.00000074859301 35.74998946354004  126.00000074859301 35.999987437257424)))
159,50000_A,NI51-03-08,MULTIPOLYGON (((125.7500027060632 35.999987437257424  126.00000074859301 35.999987437257424  126.00000074859301 35.74998946354004  125.7500027060632 35.74998946354004  125.7500027060632 35.999987437257424)))
143,50000_A,NI52-01-18,MULTIPOLYGON (((126.24999922607019 35.50001666026538  126.49999726860001 35.50001666026538  126.49999726860001 35.25001868654801  126.24999922607019 35.25001868654801  126.24999922607019 35.50001666026538)))
183,50000_A,NJ52-11-32,MULTIPOLYGON (((129.7500035011899 36.24997274068006  130.00000154371978 36.24997274068006  130.00000154371978 35.99997476696268  129.7500035011899 35.99997476696268  129.7500035011899 36.24997274068006)))
184,50000_A,NJ52-11-31,MULTIPOLYGON (((129.50000545080619 36.249976828943275  129.75000349333598 36.249976828943275  129.75000349333598 35.99997885522589  129.50000545080619 35.99997885522589  129.50000545080619 36.249976828943275)))
185,50000_A,NJ52-11-30,MULTIPOLYGON (((129.25000544564622 36.249976985354955  129.500003488176 36.249976985354955  129.500003488176 35.99997901163757  129.25000544564622 35.99997901163757  129.25000544564622 36.249976985354955)))
186,50000_A,NJ52-11-23,MULTIPOLYGON (((129.50000545080619 36.499974802660645  129.75000349333598 36.499974802660645  129.75000349333598 36.249976828943275  129.50000545080619 36.249976828943275  129.50000545080619 36.499974802660645)))
187,50000_A,NJ52-11-22,MULTIPOLYGON (((129.25000544564622 36.49997495907232  129.500003488176 36.49997495907232  129.500003488176 36.249976985354955  129.25000544564622 36.249976985354955  129.25000544564622 36.49997495907232)))
188,50000_A,NJ52-11-15,MULTIPOLYGON (((129.50000545080619 36.74997277637802  129.75000349333598 36.74997277637802  129.75000349333598 36.499974802660645  129.50000545080619 36.499974802660645  129.50000545080619 36.74997277637802)))
189,50000_A,NJ52-11-14,MULTIPOLYGON (((129.25000544564622 36.7499729327897  129.500003488176 36.7499729327897  129.500003488176 36.49997495907232  129.25000544564622 36.49997495907232  129.25000544564622 36.7499729327897)))
190,50000_A,NJ52-11-07,MULTIPOLYGON (((129.500003488176 36.99997090650708  129.7500015307058 36.99997090650708  129.7500015307058 36.7499729327897  129.500003488176 36.7499729327897  129.500003488176 36.99997090650708)))
191,50000_A,NJ52-11-06,MULTIPOLYGON (((129.25000544564622 36.99997090650708  129.500003488176 36.99997090650708  129.500003488176 36.7499729327897  129.25000544564622 36.7499729327897  129.25000544564622 36.99997090650708)))
192,50000_A,NJ52-09-13,MULTIPOLYGON (((131.0000055063818 37.74996660307374  131.2500035489116 37.74996660307374  131.2500035489116 37.49996862935636  131.0000055063818 37.49996862935636  131.0000055063818 37.74996660307374)))
193,50000_A,NJ52-09-32,MULTIPOLYGON (((131.75000628395742 37.24995294873543  132.0000043264872 37.24995294873543  132.0000043264872 36.99995497501805  131.75000628395742 36.99995497501805  131.75000628395742 37.24995294873543)))
194,50000_A,NJ52-09-31,MULTIPOLYGON (((131.5000062787974 37.2499531051471  131.7500043213272 37.2499531051471  131.7500043213272 36.99995513142972  131.5000062787974 36.99995513142972  131.5000062787974 37.2499531051471)))
195,50000_A,NJ52-09-24,MULTIPOLYGON (((131.75000628395742 37.4999509224528  132.0000043264872 37.4999509224528  132.0000043264872 37.24995294873543  131.75000628395742 37.24995294873543  131.75000628395742 37.4999509224528)))
196,50000_A,NJ52-09-23,MULTIPOLYGON (((131.5000062787974 37.49995107886448  131.7500043213272 37.49995107886448  131.7500043213272 37.2499531051471  131.5000062787974 37.2499531051471  131.5000062787974 37.49995107886448)))
197,50000_A,NJ52-09-21,MULTIPOLYGON (((131.0000055063818 37.49996862935636  131.2500035489116 37.49996862935636  131.2500035489116 37.249970655638975  131.0000055063818 37.249970655638975  131.0000055063818 37.49996862935636)))
198,50000_A,NJ52-09-20,MULTIPOLYGON (((130.7500055012217 37.49996878576804  131.0000035437516 37.49996878576804  131.0000035437516 37.249970812050655  130.7500055012217 37.249970812050655  130.7500055012217 37.49996878576804)))
199,50000_A,NJ52-09-19,MULTIPOLYGON (((130.5000027791898 37.49998224799671  130.7500008217197 37.49998224799671  130.7500008217197 37.24998427427934  130.5000027791898 37.24998427427934  130.5000027791898 37.49998224799671)))
200,50000_A,NJ52-09-12,MULTIPOLYGON (((130.7500055012217 37.749966759485424  131.0000035437516 37.749966759485424  131.0000035437516 37.49996878576804  130.7500055012217 37.49996878576804  130.7500055012217 37.749966759485424)))
201,50000_A,NJ52-09-11,MULTIPOLYGON (((130.50000277133591 37.7499843099773  130.7500008138657 37.7499843099773  130.7500008138657 37.49998633625992  130.50000277133591 37.49998633625992  130.50000277133591 37.7499843099773)))
202,50000_A,NJ52-08-13,MULTIPOLYGON (((129.0000093571343 37.74996891219121  129.2500073996641 37.74996891219121  129.2500073996641 37.49997093847382  129.0000093571343 37.49997093847382  129.0000093571343 37.74996891219121)))
203,50000_A,NJ52-08-31,MULTIPOLYGON (((129.5000046970914 37.24998944076105  129.7500027396212 37.24998944076105  129.7500027396212 36.99999146704367  129.5000046970914 36.99999146704367  129.5000046970914 37.24998944076105)))
204,50000_A,NJ52-08-30,MULTIPOLYGON (((129.2500046919313 37.24998959717273  129.50000273446122 37.24998959717273  129.50000273446122 36.99999162345535  129.2500046919313 36.99999162345535  129.2500046919313 37.24998959717273)))
205,50000_A,NJ52-08-23,MULTIPOLYGON (((129.5000046970914 37.49998741447843  129.7500027396212 37.49998741447843  129.7500027396212 37.24998944076105  129.5000046970914 37.24998944076105  129.5000046970914 37.49998741447843)))
206,50000_A,NJ52-08-22,MULTIPOLYGON (((129.2500046919313 37.499987570890106  129.50000273446122 37.499987570890106  129.50000273446122 37.24998959717273  129.2500046919313 37.24998959717273  129.2500046919313 37.499987570890106)))
207,50000_A,NJ52-08-21,MULTIPOLYGON (((129.00000739450408 37.4999710948855  129.2500054370339 37.4999710948855  129.2500054370339 37.24997312116812  129.00000739450408 37.24997312116812  129.00000739450408 37.4999710948855)))
208,50000_A,NJ52-08-14,MULTIPOLYGON (((129.2500046919313 37.749985544607476  129.50000273446122 37.749985544607476  129.50000273446122 37.499987570890106  129.2500046919313 37.499987570890106  129.2500046919313 37.749985544607476)))
209,50000_A,NJ52-08-12,MULTIPOLYGON (((128.75000935197428 37.749969068602866  129.00000739450408 37.749969068602866  129.00000739450408 37.4999710948855  128.75000935197428 37.4999710948855  128.75000935197428 37.749969068602866)))
210,50000_A,NJ52-08-05,MULTIPOLYGON (((129.00000739450408 37.99996704232025  129.2500054370339 37.99996704232025  129.2500054370339 37.749969068602866  129.00000739450408 37.749969068602866  129.00000739450408 37.99996704232025)))
211,50000_A,NJ52-08-04,MULTIPOLYGON (((128.75000935197428 37.99996704232025  129.00000739450408 37.99996704232025  129.00000739450408 37.749969068602866  128.75000935197428 37.749969068602866  128.75000935197428 37.99996704232025)))
181,50000_A,NJ52-10-02,MULTIPOLYGON (((126.2500061931443 36.999958093896254  126.5000042356741 36.999958093896254  126.5000042356741 36.74996012017889  126.2500061931443 36.74996012017889  126.2500061931443 36.999958093896254)))
182,50000_A,NJ52-10-01,MULTIPOLYGON (((126.0000061879842 36.999958250307934  126.2500042305141 36.999958250307934  126.2500042305141 36.74996027659056  126.0000061879842 36.74996027659056  126.0000061879842 36.999958250307934)))
215,50000_A,NJ52-07-25,MULTIPOLYGON (((126.00000618013028 37.24996031228853  126.25000422266011 37.24996031228853  126.25000422266011 36.999962338571144  126.00000618013028 36.999962338571144  126.00000618013028 37.24996031228853)))
218,50000_A,NJ52-07-17,MULTIPOLYGON (((126.00000618013028 37.499958286005906  126.25000422266011 37.499958286005906  126.25000422266011 37.24996031228853  126.00000618013028 37.24996031228853  126.00000618013028 37.499958286005906)))
221,50000_A,NJ52-07-09,MULTIPOLYGON (((126.00000618013028 37.74995625972329  126.25000422266011 37.74995625972329  126.25000422266011 37.499958286005906  126.00000618013028 37.499958286005906  126.00000618013028 37.74995625972329)))
222,50000_A,NJ51-09-32,MULTIPOLYGON (((125.7500027161898 37.24998535936538  126.0000007587196 37.24998535936538  126.0000007587196 36.999987385648  125.7500027161898 36.999987385648  125.7500027161898 37.24998535936538)))
224,50000_A,NJ51-09-24,MULTIPOLYGON (((125.7500027161898 37.49998333308275  126.0000007587196 37.49998333308275  126.0000007587196 37.24998535936538  125.7500027161898 37.24998535936538  125.7500027161898 37.49998333308275)))
234,50000_A,NJ52-10-28,MULTIPOLYGON (((126.74999684666669 36.24998116629992  126.99999488919649 36.24998116629992  126.99999488919649 35.99998319258253  126.74999684666669 35.99998319258253  126.74999684666669 36.24998116629992)))
18,250000_A,NJ51-12,MULTIPOLYGON (((123.99999847738714 36.000033361488505  123.99999848531749 36.250032852244495  123.99999924122855 36.50001664549606  123.99999851176877 36.75003183248328  123.99999923337464 37.000016681194026  124.24999924532142 37.00001667807945  124.49999924317476 37.00001667938377  124.74999924226195 37.00001668257891  124.99999924140126 37.000016683644674  125.24999923923532 37.000016677399735  125.49999924154307 37.00001668432266  125.74999924461562 37.00001668149149  125.99999924901729 37.00001667776026  125.99999923900923 36.75001675454765  125.99999924479187 36.50001675019387  125.99999924204496 36.25001674334673  125.99999923889071 36.000016729369676  125.74999923373069 36.000016885781356  125.49999924331433 36.00001661152724  125.24999920717597 36.00001780758818  124.9999991694447 36.00001884598893  124.74999910132043 36.00002056888369  124.49999924687361 36.000016628309716  124.24999878027162 36.000027361435585  123.99999847738714 36.000033361488505)))
231,50000_A,NJ52-07-12,MULTIPOLYGON (((126.75000227820391 37.7499520150484  127.0000003207337 37.7499520150484  127.0000003207337 37.49995404133102  126.75000227820391 37.49995404133102  126.75000227820391 37.7499520150484)))
233,50000_A,NJ52-07-04,MULTIPOLYGON (((126.75000227820391 37.999949988765785  127.0000003207337 37.999949988765785  127.0000003207337 37.74995201504841  126.75000227820391 37.74995201504841  126.75000227820391 37.999949988765785)))
235,50000_A,NI52-01-12,MULTIPOLYGON (((126.7499968388127 35.74998930712836  126.9999948813425 35.74998930712836  126.9999948813425 35.499991333410975  126.7499968388127 35.499991333410975  126.7499968388127 35.74998930712836)))
243,50000_A,NI52-05-06,MULTIPOLYGON (((129.2499951974122 35.0000125601045  129.499993239942 35.0000125601045  129.499993239942 34.75001458638713  129.2499951974122 34.75001458638713  129.2499951974122 35.0000125601045)))
244,50000_A,NI52-05-13,MULTIPOLYGON (((128.9999971548824 34.75001458638712  129.2499951974122 34.75001458638712  129.2499951974122 34.50001661266975  128.9999971548824 34.50001661266975  128.9999971548824 34.75001458638712)))
236,50000_A,NI52-02-16,MULTIPOLYGON (((129.7500019735071 35.7500021200997  130.0000000160369 35.7500021200997  130.0000000160369 35.500004146382324  129.7500019735071 35.500004146382324  129.7500019735071 35.7500021200997)))
237,50000_A,NI52-02-24,MULTIPOLYGON (((129.7500019735071 35.50000414638233  130.0000000160369 35.50000414638233  130.0000000160369 35.25000617266495  129.7500019735071 35.25000617266495  129.7500019735071 35.50000414638233)))
238,50000_A,NI52-02-32,MULTIPOLYGON (((129.7500019735071 35.250006172664946  130.0000000160369 35.250006172664946  130.0000000160369 35.00000819894757  129.7500019735071 35.00000819894757  129.7500019735071 35.250006172664946)))
239,50000_A,NI52-03-25,MULTIPOLYGON (((129.99999926004944 35.25001474782894  130.2499973025792 35.25001474782894  130.2499973025792 35.00001677411156  129.99999926004944 35.00001677411156  129.99999926004944 35.25001474782894)))
240,50000_A,NI52-03-26,MULTIPOLYGON (((130.2500027429936 35.249989439486164  130.5000007855234 35.249989439486164  130.5000007855234 34.999991465768794  130.2500027429936 34.999991465768794  130.2500027429936 35.249989439486164)))
241,50000_A,NI52-03-18,MULTIPOLYGON (((130.24999926998552 35.50001204191357  130.49999731251532 35.50001204191357  130.49999731251532 35.250014068196194  130.24999926998552 35.250014068196194  130.24999926998552 35.50001204191357)))
242,50000_A,NI52-03-17,MULTIPOLYGON (((129.99999926482545 35.50001219832525  130.24999730735533 35.50001219832525  130.24999730735533 35.25001422460788  129.99999926482545 35.25001422460788  129.99999926482545 35.50001219832525)))
226,50000_A,NJ51-09-16,MULTIPOLYGON (((125.75000270833591 37.74998539506334  126.00000075086571 37.74998539506334  126.00000075086571 37.49998742134597  125.75000270833591 37.49998742134597  125.75000270833591 37.74998539506334)))
227,50000_A,NJ51-09-15,MULTIPOLYGON (((125.500004665806 37.74998539506334  125.75000270833591 37.74998539506334  125.75000270833591 37.49998742134597  125.500004665806 37.49998742134597  125.500004665806 37.74998539506334)))
228,50000_A,NJ52-07-01,MULTIPOLYGON (((126.00000618013028 37.99995423344067  126.25000422266008 37.99995423344067  126.25000422266008 37.74995625972329  126.00000618013028 37.74995625972329  126.00000618013028 37.99995423344067)))
9,250000_A,NI52-04,MULTIPOLYGON (((125.99999772691571 34.000050089958634  125.99999773484606 34.250049580714624  125.99999849075712 34.50003337396619  125.99999776129734 34.75004856095341  125.99999848290321 35.000033409664155  126.24999849484999 35.000033406549576  126.49999849270333 35.0000334078539  126.74999849179052 35.00003341104904  126.99999849092983 35.0000334121148  127.2499984887639 35.000033405869864  127.49999849107164 35.00003341279279  127.7499984941442 35.00003340996162  127.99999849854586 35.000033406230386  127.9999984885378 34.75003348301778  127.99999849432044 34.500033478664  127.99999849157354 34.250033471816856  127.99999848841928 34.000033457839805  127.74999848325926 34.000033614251485  127.4999984928429 34.00003333999737  127.24999845670455 34.00003453605831  126.99999841897328 34.00003557445906  126.749998350849 34.00003729735382  126.49999849640218 34.000033356779845  126.2499980298002 34.000044089905714  125.99999772691571 34.000050089958634)))
61,50000_A,NI52-05-25,MULTIPOLYGON (((127.99999848841921 34.25003143155719  128.2499965309491 34.25003143155719  128.2499965309491 34.000033457839805  127.99999848841921 34.000033457839805  127.99999848841921 34.25003143155719)))
6,250000_A,NI52-08,MULTIPOLYGON (((127.99999698657086 33.000066766819344  127.99999699450122 33.250066257575334  127.99999775041228 33.5000500508269  127.99999702095249 33.75006523781412  127.99999774255836 34.000050086524865  128.24999775450516 34.00005008341029  128.49999775235847 34.00005008471461  128.74999775144568 34.00005008790975  128.99999775058498 34.00005008897551  129.24999774841905 34.000050082730574  129.49999775072678 34.0000500896535  129.74999775379933 34.00005008682233  129.999997758201 34.0000500830911  129.99999774819295 33.75005015987849  129.9999977539756 33.50005015552471  129.9999977512287 33.250050148677566  129.99999774807443 33.000050134700516  129.74999774291442 33.000050291112196  129.49999775249807 33.00005001685808  129.2499977163597 33.00005121291902  128.99999767862843 33.00005225131977  128.74999761050415 33.00005397421453  128.49999775605733 33.000050033640555  128.24999728945534 33.000060766766424  127.99999698657086 33.000066766819344)))
179,50000_A,NJ52-10-04,MULTIPOLYGON (((126.75000227820391 36.999958093896254  127.0000003207337 36.999958093896254  127.0000003207337 36.74996012017889  126.75000227820391 36.74996012017889  126.75000227820391 36.999958093896254)))
180,50000_A,NJ52-10-03,MULTIPOLYGON (((126.5000042356741 36.999958093896254  126.75000227820391 36.999958093896254  126.75000227820391 36.74996012017889  126.5000042356741 36.74996012017889  126.5000042356741 36.999958093896254)))
212,50000_A,NJ52-07-28,MULTIPOLYGON (((126.75000227820391 37.24995606761364  127.0000003207337 37.24995606761364  127.0000003207337 36.999958093896254  126.75000227820391 36.999958093896254  126.75000227820391 37.24995606761364)))
23,250000_A,NJ52-07,MULTIPOLYGON (((125.99999924901729 37.00001667776026  125.99999925694765 37.25001616851625  126.0000000128587 37.49999996176781  125.99999928339892 37.75001514875503  126.0000000050048 37.99999999746578  126.25000001695157 37.9999999943512  126.50000001480491 37.99999999565552  126.7500000138921 37.99999999885066  127.00000001303141 37.999999999916426  127.25000001086548 37.99999999367149  127.50000001317322 38.00000000059441  127.75000001624578 37.99999999776324  128.00000002064746 37.99999999403201  128.00000001063938 37.750000070819404  128.000000016422 37.500000066465624  128.0000000136751 37.25000005961848  128.00000001052086 37.00000004564143  127.75000000536085 37.00000020205311  127.50000001494449 36.999999927798996  127.24999997880613 37.00000112385993  126.99999994107486 37.000002162260685  126.74999987295058 37.000003885155444  126.50000001850377 36.99999994458147  126.24999955190178 37.00001067770734  125.99999924901729 37.00001667776026)))
167,50000_A,NJ51-12-14,MULTIPOLYGON (((125.25000390465851 36.7500022317695  125.5000019471883 36.7500022317695  125.5000019471883 36.500004258052115  125.25000390465851 36.500004258052115  125.25000390465851 36.7500022317695)))
20,250000_A,NJ52-10,MULTIPOLYGON (((125.99999923889071 36.000016729369676  125.99999924682106 36.250016220125666  126.00000000273212 36.50000001337723  125.99999927327234 36.75001520036445  125.99999999487821 37.0000000490752  126.25000000682499 37.00000004596062  126.50000000467833 37.00000004726494  126.75000000376552 37.00000005046008  127.00000000290483 37.000000051525845  127.2500000007389 37.000000045280906  127.50000000304664 37.00000005220383  127.7500000061192 37.00000004937266  128.00000001052086 37.00000004564143  128.00000000051278 36.75000012242882  128.00000000629544 36.50000011807504  128.00000000354854 36.2500001112279  128.00000000039427 36.00000009725085  127.74999999523426 36.00000025366253  127.5000000048179 35.999999979408415  127.24999996867955 36.00000117546935  126.99999993094828 36.000002213870104  126.749999862824 36.00000393676486  126.50000000837719 35.99999999619089  126.2499995417752 36.000010729316756  125.99999923889071 36.000016729369676)))
60,50000_A,NI52-05-26,MULTIPOLYGON (((128.24999849357928 34.2500312751455  128.49999653610908 34.2500312751455  128.49999653610908 34.000033301428125  128.24999849357928 34.000033301428125  128.24999849357928 34.2500312751455)))
63,50000_A,NI52-05-19,MULTIPOLYGON (((128.499996543963 34.50002516059967  128.74999458649282 34.50002516059967  128.74999458649282 34.25002718688229  128.499996543963 34.25002718688229  128.499996543963 34.50002516059967)))
64,50000_A,NI52-05-18,MULTIPOLYGON (((128.24999849357928 34.50002924886288  128.49999653610908 34.50002924886288  128.49999653610908 34.2500312751455  128.24999849357928 34.2500312751455  128.24999849357928 34.50002924886288)))
62,50000_A,NI52-05-20,MULTIPOLYGON (((128.7499991123525 34.50001661266975  128.9999971548824 34.50001661266975  128.9999971548824 34.25001863895237  128.7499991123525 34.25001863895237  128.7499991123525 34.50001661266975)))
170,50000_A,NJ51-12-06,MULTIPOLYGON (((125.25000390465851 37.000000205486884  125.5000019471883 37.000000205486884  125.5000019471883 36.7500022317695  125.25000390465851 36.7500022317695  125.25000390465851 37.000000205486884)))
65,50000_A,NI52-05-17,MULTIPOLYGON (((127.99999848841921 34.50002940527456  128.2499965309491 34.50002940527456  128.2499965309491 34.25003143155719  127.99999848841921 34.25003143155719  127.99999848841921 34.50002940527456)))
67,50000_A,NI52-05-11,MULTIPOLYGON (((128.49999653610908 34.750027222580265  128.7499945786389 34.750027222580265  128.7499945786389 34.50002924886288  128.49999653610908 34.50002924886288  128.49999653610908 34.750027222580265)))
68,50000_A,NI52-05-10,MULTIPOLYGON (((128.24999849357928 34.750027222580265  128.49999653610908 34.750027222580265  128.49999653610908 34.50002924886288  128.24999849357928 34.50002924886288  128.24999849357928 34.750027222580265)))
37,50000_A,NI52-07-13,MULTIPOLYGON (((126.9999976000215 33.75004774238875  127.24999564255128 33.75004774238875  127.24999564255128 33.50004976867138  126.9999976000215 33.50004976867138  126.9999976000215 33.75004774238875)))
72,50000_A,NI52-05-03,MULTIPOLYGON (((128.49999653610908 35.00002519629763  128.7499945786389 35.00002519629763  128.7499945786389 34.750027222580265  128.49999653610908 34.750027222580265  128.49999653610908 35.00002519629763)))
73,50000_A,NI52-05-02,MULTIPOLYGON (((128.2499965309491 35.00002535270932  128.49999457347892 35.00002535270932  128.49999457347892 34.750027378991945  128.2499965309491 34.750027378991945  128.2499965309491 35.00002535270932)))
74,50000_A,NI52-05-01,MULTIPOLYGON (((127.99999848841921 35.00002535270932  128.2499965309491 35.00002535270932  128.2499965309491 34.750027378991945  127.99999848841921 34.750027378991945  127.99999848841921 35.00002535270932)))
213,50000_A,NJ52-07-27,MULTIPOLYGON (((126.5000042356741 37.24995606761364  126.75000227820391 37.24995606761364  126.75000227820391 36.999958093896254  126.5000042356741 36.999958093896254  126.5000042356741 37.24995606761364)))
214,50000_A,NJ52-07-26,MULTIPOLYGON (((126.2500061852903 37.24996015587685  126.5000042278202 37.24996015587685  126.5000042278202 36.999962182159464  126.2500061852903 36.999962182159464  126.2500061852903 37.24996015587685)))
16,250000_A,NI52-01,MULTIPOLYGON (((125.99999848290321 35.000033409664155  125.99999849083356 35.250032900420145  125.99999924674462 35.50001669367171  125.99999851728484 35.75003188065893  125.99999923889071 36.000016729369676  126.24999925083749 36.0000167262551  126.49999924869083 36.00001672755942  126.74999924777802 36.00001673075456  126.99999924691733 36.000016731820324  127.2499992447514 36.000016725575385  127.49999924705914 36.00001673249831  127.7499992501317 36.00001672966714  127.99999925453336 36.00001672593591  127.9999992445253 35.7500168027233  127.99999925030794 35.50001679836952  127.99999924756104 35.25001679152238  127.99999924440678 35.000016777545326  127.74999923924676 35.000016933957006  127.4999992488304 35.000016659702894  127.24999921269205 35.00001785576383  126.99999917496078 35.00001889416458  126.7499991068365 35.00002061705934  126.49999925238969 35.000016676485366  126.2499987857877 35.000027409611235  125.99999848290321 35.000033409664155)))
129,50000_A,NI52-02-27,MULTIPOLYGON (((128.49999188345942 35.25005178232893  128.7499899259892 35.25005178232893  128.7499899259892 35.00005380861155  128.49999188345942 35.00005380861155  128.49999188345942 35.25005178232893)))
130,50000_A,NI52-02-26,MULTIPOLYGON (((128.24999264405858 35.25003504776525  128.4999906865884 35.25003504776525  128.4999906865884 35.00003707404788  128.24999264405858 35.00003707404788  128.24999264405858 35.25003504776525)))
131,50000_A,NI52-02-25,MULTIPOLYGON (((127.99998916111441 35.25006035610803  128.2499872036442 35.25006035610803  128.2499872036442 35.000062382390645  127.99998916111441 35.000062382390645  127.99998916111441 35.25006035610803)))
134,50000_A,NI52-02-21,MULTIPOLYGON (((128.99998722867778 35.500078362156685  129.2499852712076 35.500078362156685  129.2499852712076 35.2500803884393  128.99998722867778 35.2500803884393  128.99998722867778 35.500078362156685)))
66,50000_A,NI52-05-12,MULTIPOLYGON (((128.7499991123525 34.75001458638713  128.9999971548824 34.75001458638713  128.9999971548824 34.50001661266975  128.7499991123525 34.50001661266975  128.7499991123525 34.75001458638713)))
71,50000_A,NI52-05-04,MULTIPOLYGON (((128.7499991123525 35.0000125601045  128.9999971548824 35.0000125601045  128.9999971548824 34.75001458638713  128.7499991123525 34.75001458638713  128.7499991123525 35.0000125601045)))
128,50000_A,NI52-02-28,MULTIPOLYGON (((128.74998978504772 35.250047563503216  128.9999878275776 35.250047563503216  128.9999878275776 35.00004958978584  128.74998978504772 35.00004958978584  128.74998978504772 35.250047563503216)))
117,50000_A,NI51-06-15,MULTIPOLYGON (((125.50000314370449 34.75001880726172  125.7500011862343 34.75001880726172  125.7500011862343 34.50002083354434  125.50000314370449 34.50002083354434  125.50000314370449 34.75001880726172)))
118,50000_A,NI51-06-14,MULTIPOLYGON (((125.2500031385444 34.7500189636734  125.5000011810743 34.7500189636734  125.5000011810743 34.50002098995602  125.2500031385444 34.50002098995602  125.2500031385444 34.7500189636734)))
15,250000_A,NI52-02,MULTIPOLYGON (((127.99999924440677 35.000016777545326  127.99999925233712 35.250016268301316  128.00000000824818 35.50000006155288  127.9999992787884 35.7500152485401  128.00000000039427 36.00000009725085  128.25000001234105 36.00000009413627  128.50000001019438 36.00000009544059  128.75000000928156 36.00000009863573  129.0000000084209 36.000000099701495  129.25000000625494 36.000000093456556  129.5000000085627 36.00000010037948  129.75000001163525 36.00000009754831  130.00000001603692 36.00000009381708  130.00000000602887 35.75000017060447  130.0000000118115 35.50000016625069  130.0000000090646 35.25000015940355  130.00000000591035 35.0000001454265  129.75000000075033 35.00000030183818  129.50000001033396 35.000000027584065  129.2499999741956 35.000001223645  128.99999993646435 35.000002262045754  128.74999986834007 35.00000398494051  128.50000001389324 35.00000004436654  128.24999954729125 35.000010777492406  127.99999924440677 35.000016777545326)))
24,250000_A,NJ51-09,MULTIPOLYGON (((123.99999923337464 37.000016681194026  123.99999924130499 37.250016171950016  123.99999999721605 37.49999996520158  123.99999926775627 37.7500151521888  123.99999998936214 38.00000000089955  124.25000000130892 37.99999999778497  124.49999999916226 37.99999999908929  124.74999999824945 38.00000000228443  124.99999999738876 38.000000003350195  125.24999999522282 37.999999997105256  125.49999999753057 38.00000000402818  125.75000000060312 38.00000000119701  126.0000000050048 37.99999999746578  125.99999999499673 37.75000007425317  126.00000000077937 37.50000006989939  125.99999999803246 37.25000006305225  125.99999999487821 37.0000000490752  125.74999998971819 37.00000020548688  125.49999999930183 36.999999931232765  125.24999996316348 37.0000011272937  124.9999999254322 37.000002165694454  124.74999985730793 37.00000388858921  124.50000000286111 36.99999994801524  124.24999953625912 37.000010681141106  123.99999923337464 37.000016681194026)))
216,50000_A,NJ52-07-19,MULTIPOLYGON (((126.5000042356741 37.49995404133102  126.75000227820391 37.49995404133102  126.75000227820391 37.24995606761364  126.5000042356741 37.24995606761364  126.5000042356741 37.49995404133102)))
217,50000_A,NJ52-07-18,MULTIPOLYGON (((126.2500061852903 37.499958129594226  126.5000042278202 37.499958129594226  126.5000042278202 37.24996015587685  126.2500061852903 37.24996015587685  126.2500061852903 37.499958129594226)))
219,50000_A,NJ52-07-11,MULTIPOLYGON (((126.5000042278202 37.749956103311604  126.75000227035 37.749956103311604  126.75000227035 37.499958129594226  126.5000042278202 37.499958129594226  126.5000042278202 37.749956103311604)))
220,50000_A,NJ52-07-10,MULTIPOLYGON (((126.2500061852903 37.749956103311604  126.5000042278202 37.749956103311604  126.5000042278202 37.499958129594226  126.2500061852903 37.499958129594226  126.2500061852903 37.749956103311604)))
223,50000_A,NJ51-09-31,MULTIPOLYGON (((125.500004665806 37.24998944762859  125.75000270833591 37.24998944762859  125.75000270833591 36.99999147391121  125.500004665806 36.99999147391121  125.500004665806 37.24998944762859)))
225,50000_A,NJ51-09-23,MULTIPOLYGON (((125.500004665806 37.49998742134597  125.75000270833591 37.49998742134597  125.75000270833591 37.24998944762859  125.500004665806 37.24998944762859  125.500004665806 37.49998742134597)))
